,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2022-04-19 09:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36.8,36.95,23.6,36.45,3052500,3356800,0
1,2022-04-19 09:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,35.3,42.15,35.15,38.2,2678000,3623450,1
2,2022-04-19 09:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,38.35,41.3,34.25,34.3,1631150,3792000,2
3,2022-04-19 09:30:00,NIFTY,NFO,Options,21-APR-22,Put,17000,34.65,37.9,29.9,35.8,1637100,3813200,3
4,2022-04-19 09:35:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36.65,42.85,35.4,41.55,1834450,3976800,4
5,2022-04-19 09:40:00,NIFTY,NFO,Options,21-APR-22,Put,17000,41,44.9,37.3,37.55,1629950,4119150,5
6,2022-04-19 09:45:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36.7,41.45,35.6,40.75,1008200,4161800,6
7,2022-04-19 09:50:00,NIFTY,NFO,Options,21-APR-22,Put,17000,41.35,41.35,35.7,39.55,1123000,4179700,7
8,2022-04-19 09:55:00,NIFTY,NFO,Options,21-APR-22,Put,17000,39.65,40.8,36.3,38.75,908950,4202550,8
9,2022-04-19 10:00:00,NIFTY,NFO,Options,21-APR-22,Put,17000,37.8,38.05,33.35,33.8,1208800,4263650,9
10,2022-04-19 10:05:00,NIFTY,NFO,Options,21-APR-22,Put,17000,33.95,38,32.05,37.65,1070850,4250200,10
11,2022-04-19 10:10:00,NIFTY,NFO,Options,21-APR-22,Put,17000,37.5,37.5,34.7,36.05,626200,4215000,11
12,2022-04-19 10:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,35.65,38.15,35.3,37.65,628150,4264750,12
13,2022-04-19 10:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,37.55,40.4,37.55,39.15,999550,4229300,13
14,2022-04-19 10:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,39.4,40.8,37.1,38.15,890000,4215850,14
15,2022-04-19 10:30:00,NIFTY,NFO,Options,21-APR-22,Put,17000,38.1,39.65,34.55,38.55,826200,4221800,15
16,2022-04-19 10:35:00,NIFTY,NFO,Options,21-APR-22,Put,17000,39,39.25,36,37,568350,4226500,16
17,2022-04-19 10:40:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36.85,37.5,34.7,35.45,690700,4251500,17
18,2022-04-19 10:45:00,NIFTY,NFO,Options,21-APR-22,Put,17000,35.5,38.2,34.85,36.3,721500,4251850,18
19,2022-04-19 10:50:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36.25,38.5,35.5,36.3,408900,4252800,19
20,2022-04-19 10:55:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36,40.5,35.3,40.5,819750,4250300,20
21,2022-04-19 11:00:00,NIFTY,NFO,Options,21-APR-22,Put,17000,40.9,41.4,36.6,37,1008900,4212050,21
22,2022-04-19 11:05:00,NIFTY,NFO,Options,21-APR-22,Put,17000,36.35,37.35,34.5,35.85,948400,4260750,22
23,2022-04-19 11:10:00,NIFTY,NFO,Options,21-APR-22,Put,17000,35.9,36.2,33.55,33.55,761150,4431550,23
24,2022-04-19 11:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,33.35,33.35,29.1,31.25,1301750,4371400,24
25,2022-04-19 11:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,31.15,32.5,27.25,28.55,1014250,4371450,25
26,2022-04-19 11:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,28.7,31.55,28.55,30.6,676150,4432700,26
27,2022-04-19 11:30:00,NIFTY,NFO,Options,21-APR-22,Put,17000,30.85,33.35,29.05,29.9,799500,4471950,27
28,2022-04-19 11:35:00,NIFTY,NFO,Options,21-APR-22,Put,17000,29.65,30.65,26.6,27.15,749400,4479050,28
29,2022-04-19 11:40:00,NIFTY,NFO,Options,21-APR-22,Put,17000,26.75,28.1,26,26.45,768500,4482000,29
30,2022-04-19 11:45:00,NIFTY,NFO,Options,21-APR-22,Put,17000,26.3,27.15,23.4,24.2,1216100,4493650,30
31,2022-04-19 11:50:00,NIFTY,NFO,Options,21-APR-22,Put,17000,24.6,25.75,22.9,23.25,896500,4509600,31
32,2022-04-19 11:55:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.25,25.25,23.25,24.75,667800,4561200,32
33,2022-04-19 12:00:00,NIFTY,NFO,Options,21-APR-22,Put,17000,24.6,26.95,24.05,26.8,781850,4585950,33
34,2022-04-19 12:05:00,NIFTY,NFO,Options,21-APR-22,Put,17000,26.6,27.85,23.75,23.75,861800,4677550,34
35,2022-04-19 12:10:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.65,24.6,22.9,23,804400,4715850,35
36,2022-04-19 12:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.15,24.4,20.9,21.2,1064000,4718050,36
37,2022-04-19 12:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.3,22.9,20.25,22.45,947500,4669950,37
38,2022-04-19 12:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,22.1,24.05,22.1,23.8,878650,4714050,38
39,2022-04-19 12:30:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.8,26.05,23,23.35,1130200,4780450,39
40,2022-04-19 12:35:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.35,25.6,22.9,24.9,605550,4775650,40
41,2022-04-19 12:40:00,NIFTY,NFO,Options,21-APR-22,Put,17000,25.3,28.25,25.25,27.8,1348300,4800350,41
42,2022-04-19 12:45:00,NIFTY,NFO,Options,21-APR-22,Put,17000,27.6,28.65,25.65,26.3,817500,4835100,42
43,2022-04-19 12:50:00,NIFTY,NFO,Options,21-APR-22,Put,17000,26.4,29.85,26.35,27.9,838700,4831050,43
44,2022-04-19 12:55:00,NIFTY,NFO,Options,21-APR-22,Put,17000,27.65,30.4,27.35,29.3,1087300,4770450,44
45,2022-04-19 13:00:00,NIFTY,NFO,Options,21-APR-22,Put,17000,29,31.05,27.7,30.45,1443950,4812000,45
46,2022-04-19 13:05:00,NIFTY,NFO,Options,21-APR-22,Put,17000,31,34.7,28.9,34.7,1517800,4824700,46
47,2022-04-19 13:10:00,NIFTY,NFO,Options,21-APR-22,Put,17000,35.7,37.7,33.05,34.35,1669400,4769800,47
48,2022-04-19 13:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,34.2,34.3,26.95,26.95,1351000,4685400,48
49,2022-04-19 13:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,27.55,27.55,22.7,23.45,1900850,4645850,49
50,2022-04-19 13:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.4,23.4,21.15,22.15,1289750,4794400,50
51,2022-04-19 13:30:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.9,22.5,20.65,21.2,948000,4890200,51
52,2022-04-19 13:35:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.2,22.95,19.75,21,1555200,4979300,52
53,2022-04-19 13:40:00,NIFTY,NFO,Options,21-APR-22,Put,17000,20.95,23.45,20.4,22.8,1381050,5009900,53
54,2022-04-19 13:45:00,NIFTY,NFO,Options,21-APR-22,Put,17000,22.7,23.9,19.85,20,1366950,5067950,54
55,2022-04-19 13:50:00,NIFTY,NFO,Options,21-APR-22,Put,17000,20.05,20.85,19.7,20,924200,5163750,55
56,2022-04-19 13:55:00,NIFTY,NFO,Options,21-APR-22,Put,17000,20,22.3,19.9,21.6,1038250,5218950,56
57,2022-04-19 14:00:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.6,21.65,16.85,17.4,1703050,5169700,57
58,2022-04-19 14:05:00,NIFTY,NFO,Options,21-APR-22,Put,17000,17.3,18.9,17.1,17.95,877100,5060250,58
59,2022-04-19 14:10:00,NIFTY,NFO,Options,21-APR-22,Put,17000,17.7,19.3,17.05,19.15,868650,5060650,59
60,2022-04-19 14:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,19.05,22,18.7,21.15,1300600,5084350,60
61,2022-04-19 14:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.05,22.9,19.35,21.45,1230050,5062450,61
62,2022-04-19 14:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.9,22.2,19.65,21.85,1158200,5116900,62
63,2022-04-19 14:30:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.55,24.65,21.55,23.75,1752750,5049450,63
64,2022-04-19 14:35:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.6,23.75,19.15,21.65,1226850,4988450,64
65,2022-04-19 14:40:00,NIFTY,NFO,Options,21-APR-22,Put,17000,21.85,23.4,21.15,22.95,927650,5008450,65
66,2022-04-19 14:45:00,NIFTY,NFO,Options,21-APR-22,Put,17000,23.05,27,21.45,26.8,1789700,5023850,66
67,2022-04-19 14:50:00,NIFTY,NFO,Options,21-APR-22,Put,17000,27,30.55,25.1,30.55,2436800,4884200,67
68,2022-04-19 14:55:00,NIFTY,NFO,Options,21-APR-22,Put,17000,31.15,45.75,31.15,41.15,5268050,4581900,68
69,2022-04-19 15:00:00,NIFTY,NFO,Options,21-APR-22,Put,17000,42.1,87.15,42.1,87.15,7387600,4284200,69
70,2022-04-19 15:05:00,NIFTY,NFO,Options,21-APR-22,Put,17000,84.15,153.7,71.95,110.05,9921250,4163250,70
71,2022-04-19 15:10:00,NIFTY,NFO,Options,21-APR-22,Put,17000,108,124.1,77.9,124.1,6318100,3271300,71
72,2022-04-19 15:15:00,NIFTY,NFO,Options,21-APR-22,Put,17000,125.7,150.9,111.5,150.9,4443200,3101500,72
73,2022-04-19 15:20:00,NIFTY,NFO,Options,21-APR-22,Put,17000,146.3,173.25,141,170.85,3638650,2551300,73
74,2022-04-19 15:25:00,NIFTY,NFO,Options,21-APR-22,Put,17000,168.3,216.6,168,168.05,2617900,2351550,74
